1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Country Name,Country Code,Indicator Name,Indicator Code,data_country,data_year
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125.4605198,121.2972251,118.1808922,116.1777661,115.1645592,114.0249034,112.6940991,111.2499473,113.1401475,112.8134879,112.3919916,111.7843344,111.1661398,110.516333,109.8384264,109.14647,108.4334387,107.6923077,106.9476642,106.3540569,106.2205831,106.1468212,105.8587987,105.5356516,105.1036178,104.6505093,104.2852125,104.056902,104.0217773,104.0498771,104.2922374,,Armenia,ARM,Population density (people per sq. km of land area),EN.POP.DNST,,
,103.33,106.49,109.83,113.365,117.03,120.68,124.315,128.07,131.875,135.13,137.665,139.975,142.18,144.375,146.95,149.795,152.605,155.38,158.055,162.015,167.92,174.545,181.355,188.335,195.515,202.855,210.36,218.075,225.955,233.2,239.41,245.19,250.795,256.255,261.58,266.765,271.81,276.67,281.24,284.275,285.265,285.31,284.855,284.09,283.085,281.87,280.565,279.14,277.64,276.14,274.475,272.445,270.03,267.33,264.39,261.225,257.93,254.54,251.045,248.805,246.125,241.71,,American Samoa,ASM,Population density (people per sq. km of land area),EN.POP.DNST,,
,128.5,130.3090909,132.1318182,134.1363636,136.2954545,138.4090909,140.5386364,142.7477273,145.0431818,146.6545455,147.1113636,146.8522727,146.2318182,145.5863636,145.0886364,144.9136364,145.1409091,145.5409091,146.0772727,146.6204545,146.9659091,147.2386364,147.5772727,147.4590909,146.7977273,146.0818182,145.3318182,144.5977273,143.9204545,143.3318182,144.0613636,146.3727273,149.0613636,151.9159091,154.975,158.2090909,161.4840909,164.5727273,167.4227273,170.2545455,172.8840909,175.0727273,177.0090909,178.9068182,180.9340909,183.1909091,185.6909091,188.4363636,191.3022727,193.9090909,196.2090909,198.3181818,200.1454545,201.7386364,203.2022727,204.475,205.6090909,206.65,207.6454545,208.7409091,209.8840909,211,,Antigua and Barbuda,ATG,Population density (people per sq. km of land area),EN.POP.DNST,,
,1.364565299,1.398279161,1.425354386,1.453601135,1.482368561,1.516603101,1.535868164,1.563203728,1.596266743,1.628028065,1.684000885,1.715241529,1.741665907,1.786313995,1.808442784,1.826666493,1.84736342,1.868971532,1.889277951,1.912448095,1.942551059,1.976523567,2.003758249,2.027959205,2.055154316,2.085098213,2.117057912,2.151981047,2.188721607,2.221356625,2.249851737,2.275182563,2.2955115,2.317726202,2.343683793,2.37230608,2.398114757,2.42213712,2.448780183,2.476966794,2.508975307,2.53767882,2.567035523,2.594629473,2.626406675,2.662088958,2.711118025,2.765994429,2.823588378,2.867858584,2.90798641,2.95920037,3.010573526,3.055814795,3.100112596,3.144935531,3.197156014,3.245344916,3.293650563,3.334526951,3.339228447,3.381998357,,Australia,AUS,Population density (people per sq. km of land area),EN.POP.DNST,,
,85.87371546,86.40164809,86.95844644,87.54000242,88.11062773,88.73080465,89.3964857,89.86188803,90.172746,90.4881968,90.89289869,91.42269753,91.93062288,92.08722734,91.84322588,91.68110761,91.7163112,91.64208677,91.48600339,91.48610034,91.71970431,91.78550654,91.63730005,91.63153175,91.67456374,91.73284052,91.79091129,91.9209525,92.33600339,93.04229278,93.97589675,95.01586282,95.80262967,96.17205526,96.31941348,96.44955162,96.55890693,96.6649176,96.85317499,97.08635482,97.45871304,97.93937227,98.41763209,99.03012603,99.70708919,100.2016602,100.5269874,100.8421716,101.1066772,101.3500242,101.6922322,102.1569438,102.7608216,103.5670868,104.7345977,105.8733398,106.6113185,107.1318589,107.6093068,108.0570044,108.5288051,109.5716311,,Austria,AUT,Population density (people per sq. km of land area),EN.POP.DNST,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.70843698,90.06332841,91.28603531,92.34711657,93.28622757,94.19048992,95.23179127,96.52076658,97.43477998,98.19379207,98.9124646,99.62372356,100.4753726,101.5225018,102.6725317,103.8533687,106.0597625,108.2912905,109.5423442,110.9763362,112.4607902,113.9234808,115.3488139,116.7310768,118.033289,119.2087416,120.2575919,121.2800711,122.1247368,122.6588022,122.7072716,,Azerbaijan,AZE,Population density (people per sq. km of land area),EN.POP.DNST,,
,110.4018302,113.2376558,115.648014,118.989486,122.3273754,125.3099688,128.5315421,131.6350078,134.5245327,137.4778816,140.8601636,140.8538941,140.6538551,144.2207944,147.8431464,151.1926012,155.1239097,159.6704829,163.6888629,170.7050623,177.8042835,182.2971184,187.2479751,191.8405374,196.0296729,199.7435358,204.3530763,208.9301791,213.0726636,217.5643302,222.1128115,228.1311137,221.0608645,222.5021028,236.2272586,236.3904206,236.372352,240.9309969,246.7739486,251.954595,258.3475467,265.7372274,274.2661215,284.682866,295.4555685,306.290771,317.8299844,331.2163941,348.4285826,365.126324,378.4259346,392.1739875,406.5163941,420.5523754,430.2017134,437.6733255,448.0826324,461.816433,477.2327103,491.3176012,504.8863318,518.7343069,,Burundi,BDI,Population density (people per sq. km of land area),EN.POP.DNST,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,337.9570105,339.1214189,340.6450071,342.0740777,343.5577424,345.4527083,347.7387004,350.3016517,353.079913,355.932252,359.1990901,363.9028121,366.1666172,367.8965813,369.5334125,371.6808756,373.5674678,375.0093298,374.7435149,376.761986,378.3893225,379.9499902,383.0330557,,Belgium,BEL,Population density (people per sq. km of land area),EN.POP.DNST,,
,22.69619546,23.09913977,23.52703086,23.9801614,24.45846045,24.95846932,25.47886662,26.02214438,26.58941114,27.18213019,27.80034587,28.44575204,29.1193331,29.82115112,30.55522348,31.32490245,32.13197943,32.97539021,33.86420717,34.81066868,35.81329372,36.86232707,37.94765874,39.07320858,40.24487407,41.46346222,42.73222774,44.05233239,45.42086733,46.83823164,48.30553388,49.82124867,52.08146506,54.06621142,55.22147038,56.68550905,58.38386839,60.21185704,62.10374246,64.04415573,66.0304718,68.06869457,70.17621497,72.3580525,74.72635686,77.09508691,79.40731642,81.84166371,84.33330082,86.88793899,89.51421603,92.21050905,94.97014899,97.81841078,100.7509844,103.7410607,106.7735012,109.8203884,112.8658656,115.9113959,118.9554541,122.024663,,Benin,BEN,Population density (people per sq. km of land area),EN.POP.DNST,,
,17.72011696,17.98125731,18.25154605,18.53448099,18.83345395,19.14449196,19.4676462,19.80498538,20.15050073,20.50549708,20.86256944,21.22527047,21.60792032,22.02084795,22.46918494,22.95553728,23.4968348,24.0898538,24.72186769,25.39437135,26.09748173,26.82820541,27.5991557,28.40736842,29.23952851,30.07619518,30.91048611,31.75232091,32.60663377,33.47717836,34.33710526,35.19471857,36.08082237,37.00218567,37.9631652,38.94715643,39.96426535,41.08429825,42.30602339,43.58752193,44.93786915,46.34830775,47.81627193,49.34405336,50.92150219,52.5354788,54.15316886,55.76788377,57.41983187,59.12462719,60.89878655,62.76420687,64.67620249,66.62814693,68.63116594,70.66833333,72.71347588,74.70134503,76.61532164,78.50398392,80.39197003,82.26987573,,Burkina Faso,BFA,Population density (people per sq. km of land area),EN.POP.DNST,,
