1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Country Name,Country Code,Indicator Name,Indicator Code,data_country,data_year
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15834,0.18104,,,,0.16816,0.30111,0.24112,0.21514,0.15166,,0.09836,0.16568,0.17787,,,,,0.19719,,,0.61361,,0.17435,0.25116,0.25126,,,,Burkina Faso,BFA,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bangladesh,BGD,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.41826,0.46548,0.48223,0.53688,0.49517,0.44709,0.46473,0.47222,0.47086,0.44269,0.44216,0.43003,0.44731,0.49338,0.56299,0.5295,0.60039,0.63424,0.79007,0.94947,0.77009,0.74037,0.75413,0.83274,0.84967,0.77278,0.75421,,,Bulgaria,BGR,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.10116,,,,,,,,,,,Bahrain,BHR,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bahamas, The",BHS,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01826,0.0159,0.02697,0.01969,0.02521,0.01842,0.02106,,,0.26533,0.32132,0.25725,0.21603,0.21337,0.1978,0.19199,0.19001,0.20325,0.19035,0.18743,0.19228,,Bosnia and Herzegovina,BIH,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99852,0.73,0.70578,0.84523,0.7221,0.70876,0.6209,0.61147,0.62759,0.67852,0.66065,0.96203,0.74147,0.62167,0.66913,0.6776,0.64603,0.65191,0.50548,0.49999,0.50063,0.58411,0.60443,0.57733,0.53901,0.45981,0.47477,0.57843,,Belarus,BLR,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Belize,BLZ,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05885,,,,,,,,,,0.16026,0.16848,0.18235,0.1805,0.26195,0.23355,0.1963,0.19083,0.19507,,,0.22851,0.26451,0.22546,,,,,Bermuda,BMU,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.32544,0.31577,0.29495,0.29836,0.28744,0.29358,0.27663,,,,,,,0.157,,,,,,,,,,,,,,,,Bolivia,BOL,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,,
